Symbol
VNQ
IYR
SCHH
XLRE
ICF
USRT
RWR
FREL
REM
BBRE
SRVR
REZ
SRET
KBWY
MORT
INDS
PPTY
VRAI
PSR
FRI
NETL
EWRE
ROOF
NURE
RDOG
REIT
REC
REK
